,frog,bird,dog,car,step,murmullo
5461,"[[174 0.5 -153]
 [118 0.5 -109]]","[[131 10.5 -127]
 [91 10.5 -109]
 [41 10.5 -190]]",[],[],[],[]
5462,"[[117 0.5 -77]
 [150 0.5 -102]]","[[173 7.5 -166]
 [148 7.5 -94]]",[[188 0.5 -52]],[],[],[]
5463,"[[168 0.5 -107]
 [87 0.5 -95]]",[[143 18.5 -147]],[],[],[],[]
5464,"[[85 0.5 -77]
 [122 0.5 -99]]","[[116 16.5 -90]
 [151 16.5 -169]]",[[16 0.5 -3]],[],[[16 0.5 -241]],[]
5465,"[[168 0.5 -139]
 [161 0.5 -100]]","[[133 9.5 -82]
 [53 9.5 -36]]",[],[],[],[]
5466,"[[167 0.5 -98]
 [105 0.5 -84]
 [69 0.5 -206]]","[[88 18.5 -91]
 [169 18.5 -75]]",[],[],[],[]
5467,"[[143 0.5 -111]
 [103 0.5 -121]
 [71 0.5 -58]]","[[111 6.5 -166]
 [59 6.5 -71]]",[[16 0.5 -22]],[],[],[]
5468,"[[101 0.5 -96]
 [160 0.5 -134]
 [94 0.5 -93]]","[[146 16.5 -144]
 [105 16.5 -98]]",[],[],"[[216 0.5 -218]
 [21 0.5 -244]]",[[233 1.5 -19]]
5469,"[[158 0.5 -76]
 [98 0.5 -120]
 [43 0.5 -188]]",[[149 0.5 -110]],[[226 0.5 -21]],[],[],[]
5470,"[[170 0.5 -102]
 [107 0.5 -156]
 [158 0.5 -165]]","[[80 13.5 -97]
 [153 13.5 -108]
 [184 13.5 -180]]",[],[],[],[]
5471,"[[147 0.5 -168]
 [144 0.5 -166]
 [152 0.5 -165]]","[[88 3.5 -145]
 [110 3.5 -110]
 [97 3.5 -105]]",[],[],[],[]
5472,"[[145 0.5 -158]
 [168 0.5 -166]
 [129 0.5 -96]]","[[94 1.5 -162]
 [105 1.5 -131]
 [45 1.5 -45]]",[[15 0.5 -1]],[],[],[]
5473,"[[130 0.5 -91]
 [119 0.5 -156]]","[[101 14.5 -78]
 [96 14.5 -99]
 [193 14.5 -217]
 [246 14.5 -229]]",[],[],[],[]
5474,"[[134 0.5 -112]
 [75 0.5 -92]
 [88 0.5 -77]]","[[157 11.5 -123]
 [194 11.5 -201]
 [239 11.5 -18]]",[[16 0.5 -21]],[],[],[]
5475,"[[75 0.5 -103]
 [109 0.5 -104]]","[[141 12.5 -103]
 [66 12.5 -37]]",[[248 0.5 -23]],[],[],[]
5476,"[[163 0.5 -149]
 [104 0.5 -123]
 [89 0.5 -155]
 [81 0.5 -115]]","[[128 11.5 -170]
 [148 11.5 -115]]",[[189 0.5 -74]],[[8 1.0 -239]],[],[]
5477,"[[96 0.5 -168]
 [143 0.5 -106]]","[[155 18.5 -116]
 [71 18.5 -212]
 [6 18.5 -20]]",[],[],[],[]
5478,"[[144 0.5 -160]
 [142 0.5 -100]]","[[113 19.5 -115]
 [87 19.5 -165]
 [56 19.5 -177]]",[],[],[],[]
5479,"[[75 0.5 -95]
 [123 0.5 -90]
 [134 0.5 -127]]","[[157 0.5 -173]
 [134 0.5 -115]
 [170 0.5 -172]
 [64 0.5 -47]]",[],[],[],[]
5480,"[[134 0.5 -144]
 [108 0.5 -106]
 [77 0.5 -153]
 [80 0.5 -118]]",[[108 5.5 -96]],[[8 0.5 -228]],[[231 1.0 -243]],[],[]
5481,"[[87 0.5 -137]
 [152 0.5 -110]
 [77 0.5 -96]
 [148 0.5 -154]]","[[146 10.5 -135]
 [152 10.5 -174]
 [66 10.5 -70]]",[],[],[],[]
5482,"[[78 0.5 -170]
 [110 0.5 -92]
 [141 0.5 -153]]","[[86 0.5 -97]
 [128 0.5 -128]
 [109 0.5 -138]
 [23 0.5 -231]]",[[248 0.5 -246]],[],[],[]
5483,"[[113 0.5 -173]
 [128 0.5 -78]
 [148 0.5 -109]]","[[143 13.5 -167]
 [38 13.5 -29]]",[],[],[],[]
5484,"[[169 0.5 -154]
 [123 0.5 -81]
 [90 0.5 -116]]","[[108 17.5 -133]
 [60 17.5 -199]]",[[247 0.5 -242]],[],[],[]
5485,"[[82 0.5 -168]
 [85 0.5 -156]
 [50 0.5 -58]]",[[135 3.5 -157]],[[244 0.5 -15]],[],[[6 0.5 -2]],[[64 1.5 -217]]
5486,"[[171 0.5 -163]
 [149 0.5 -76]
 [155 0.5 -105]
 [102 0.5 -116]
 [67 0.5 -192]]","[[103 5.5 -109]
 [146 5.5 -142]]",[],[],[],[]
5487,"[[136 0.5 -111]
 [106 0.5 -115]]","[[169 10.5 -136]
 [134 10.5 -146]
 [219 10.5 -190]]",[[17 0.5 -230]],[],[[181 0.5 -25]],[]
5488,"[[119 0.5 -142]
 [100 0.5 -162]
 [110 0.5 -163]]","[[75 18.5 -112]
 [130 18.5 -173]
 [62 18.5 -208]]",[],[],[],[[15 1.5 -13]]
5489,"[[97 0.5 -105]
 [158 0.5 -159]
 [87 0.5 -147]]","[[120 1.5 -142]
 [39 1.5 -189]]",[],[],[],[]
5490,"[[77 0.5 -75]
 [116 0.5 -81]
 [164 0.5 -103]]","[[109 4.5 -166]
 [35 4.5 -41]
 [249 4.5 -242]]",[[23 0.5 -13]],[],[],[]
5491,"[[161 0.5 -86]
 [121 0.5 -101]
 [106 0.5 -119]]","[[113 19.5 -129]
 [12 19.5 -11]]",[[240 0.5 -238]],[],[],[]
5492,"[[118 0.5 -111]
 [105 0.5 -98]
 [120 0.5 -128]]","[[101 6.5 -88]
 [166 6.5 -96]]",[[230 0.5 -9]],[],[],[]
5493,"[[160 0.5 -101]
 [133 0.5 -107]]","[[159 8.5 -156]
 [208 8.5 -183]]",[],[],[],[]
5494,"[[164 0.5 -119]
 [155 0.5 -164]]","[[76 3.5 -111]
 [112 3.5 -101]
 [146 3.5 -138]]",[],[],[[14 0.5 -239]],[]
5495,"[[100 0.5 -113]
 [156 0.5 -162]
 [199 0.5 -57]]","[[80 18.5 -75]
 [146 18.5 -138]]",[],[],[],[]
5496,"[[113 0.5 -100]
 [84 0.5 -144]
 [108 0.5 -136]]","[[118 5.5 -156]
 [87 5.5 -146]
 [199 5.5 -176]
 [248 5.5 -23]]",[],[],[],[]
5497,"[[132 0.5 -168]
 [92 0.5 -89]]",[[155 11.5 -122]],[],[],[],[]
5498,"[[106 0.5 -147]
 [81 0.5 -112]
 [95 0.5 -103]]","[[136 17.5 -106]
 [202 17.5 -198]]",[[247 0.5 -232]],[],[[226 0.5 -8]],[]
5499,"[[158 0.5 -146]
 [128 0.5 -112]]",[[132 9.5 -103]],[],[],[[44 0.5 -35]],[]
5500,"[[168 0.5 -95]
 [141 0.5 -142]
 [100 0.5 -122]]",[[148 11.5 -127]],[],[],[],[[231 1.5 -246]]
5501,"[[107 0.5 -122]
 [111 0.5 -98]
 [92 0.5 -151]]","[[152 12.5 -97]
 [205 12.5 -218]]",[[244 0.5 -22]],[],[[182 0.5 -189]],[]
5502,"[[119 0.5 -77]
 [94 0.5 -114]]",[[133 11.5 -101]],[],[],[],[[187 1.5 -208]]
5503,"[[123 0.5 -139]
 [153 0.5 -166]]","[[171 3.5 -108]
 [102 3.5 -150]
 [105 3.5 -147]]",[[6 0.5 -236]],[],[[244 0.5 -230]],[]
5504,"[[92 0.5 -107]
 [147 0.5 -84]]","[[160 18.5 -88]
 [114 18.5 -98]
 [121 18.5 -75]]",[],[],[],[]
5505,"[[169 0.5 -142]
 [156 0.5 -99]
 [136 0.5 -163]
 [132 0.5 -75]]","[[93 9.5 -158]
 [178 9.5 -206]]",[[12 0.5 -19]],[],[],[]
5506,"[[162 0.5 -173]
 [173 0.5 -85]
 [106 0.5 -118]]",[[75 4.5 -75]],[[66 0.5 -47]],[],[],[]
5507,"[[128 0.5 -112]
 [136 0.5 -136]
 [146 0.5 -173]]","[[99 3.5 -85]
 [64 3.5 -209]]",[[235 0.5 -236]],[],[],[]
5508,"[[168 0.5 -139]
 [97 0.5 -134]]","[[89 2.5 -104]
 [178 2.5 -35]]",[],[],[],[]
5509,"[[113 0.5 -98]
 [111 0.5 -173]]","[[113 6.5 -99]
 [161 6.5 -152]
 [146 6.5 -122]
 [25 6.5 -200]]",[],[],[],[]
5510,"[[105 0.5 -174]
 [169 0.5 -174]]","[[173 15.5 -144]
 [54 15.5 -53]]",[[23 0.5 -23]],[],[],[]
5511,"[[147 0.5 -102]
 [109 0.5 -146]]","[[122 3.5 -132]
 [80 3.5 -92]]",[[245 0.5 -249]],[],[[51 0.5 -40]],[]
5512,"[[86 0.5 -116]
 [164 0.5 -150]
 [223 0.5 -34]]",[[173 0.5 -143]],[],[],[],[]
5513,"[[160 0.5 -76]
 [84 0.5 -77]]","[[86 15.5 -98]
 [118 15.5 -85]
 [204 15.5 -210]]",[],[],[],[]
5514,"[[79 0.5 -164]
 [119 0.5 -91]
 [163 0.5 -148]
 [53 0.5 -193]]","[[129 5.5 -83]
 [83 5.5 -114]
 [208 5.5 -207]]",[],[],[[234 0.5 -21]],[]
5515,"[[153 0.5 -83]
 [110 0.5 -84]
 [121 0.5 -79]]","[[86 0.5 -84]
 [151 0.5 -114]]",[[244 0.5 -9]],[],[],[]
5516,"[[173 0.5 -131]
 [150 0.5 -113]]","[[111 10.5 -151]
 [116 10.5 -161]]",[[9 0.5 -10]],[],[],[]
5517,"[[173 0.5 -135]
 [168 0.5 -105]]","[[127 5.5 -123]
 [75 5.5 -134]
 [99 5.5 -143]]",[[2 0.5 -18]],[],[[44 0.5 -224]],[]
5518,"[[143 0.5 -138]
 [117 0.5 -154]]",[[82 3.5 -81]],[],[],[],[]
5519,"[[84 0.5 -119]
 [171 0.5 -79]
 [148 0.5 -155]]","[[163 3.5 -88]
 [85 3.5 -130]
 [83 3.5 -108]
 [222 3.5 -28]]",[[53 0.5 -204]],[],[],[]
5520,"[[119 0.5 -136]
 [148 0.5 -140]
 [116 0.5 -170]
 [161 0.5 -131]]","[[116 14.5 -107]
 [128 14.5 -156]
 [28 14.5 -198]]",[],[],[[235 0.5 -11]],[]
5521,"[[141 0.5 -174]
 [81 0.5 -156]]","[[172 4.5 -132]
 [165 4.5 -159]
 [25 4.5 -32]]",[[237 0.5 -12]],[],[],[]
5522,"[[89 0.5 -117]
 [94 0.5 -160]
 [153 0.5 -83]]",[[80 5.5 -102]],[],[],[],[]
5523,"[[97 0.5 -128]
 [136 0.5 -105]]","[[138 9.5 -89]
 [140 9.5 -78]
 [83 9.5 -168]]",[],[],[],[]
5524,"[[95 0.5 -88]
 [151 0.5 -137]]","[[77 12.5 -150]
 [208 12.5 -58]]",[],[],[],[]
5525,"[[94 0.5 -157]
 [98 0.5 -101]
 [115 0.5 -145]]","[[75 8.5 -159]
 [150 8.5 -90]
 [72 8.5 -192]]",[],[],[],[]
5526,"[[116 0.5 -87]
 [117 0.5 -166]]",[[113 19.5 -158]],[],[],[],[]
5527,"[[79 0.5 -89]
 [86 0.5 -156]
 [132 0.5 -153]
 [160 0.5 -148]
 [35 0.5 -224]]","[[155 6.5 -89]
 [156 6.5 -118]
 [165 6.5 -128]]",[],[],[],[]
5528,"[[155 0.5 -139]
 [86 0.5 -148]
 [78 0.5 -159]]","[[91 11.5 -110]
 [167 11.5 -122]
 [97 11.5 -128]
 [71 11.5 -57]
 [23 11.5 -226]]",[],[],[],[]
5529,"[[108 0.5 -159]
 [117 0.5 -105]
 [115 0.5 -166]]","[[112 18.5 -95]
 [87 18.5 -84]]",[],[],[],[]
5530,"[[105 0.5 -88]
 [165 0.5 -102]
 [163 0.5 -139]
 [149 0.5 -75]]","[[97 2.5 -77]
 [145 2.5 -75]
 [166 2.5 -117]
 [33 2.5 -42]]",[],[],[],[]
5531,"[[88 0.5 -166]
 [99 0.5 -145]
 [132 0.5 -77]
 [137 0.5 -89]]","[[127 1.5 -145]
 [76 1.5 -89]
 [130 1.5 -135]]",[[55 0.5 -217]],[],[],[]
5532,"[[90 0.5 -139]
 [160 0.5 -77]
 [90 0.5 -174]
 [93 0.5 -137]
 [49 0.5 -68]]","[[108 7.5 -98]
 [143 7.5 -156]
 [87 7.5 -135]
 [48 7.5 -201]]",[],[],[],[[244 1.5 -8]]
5533,"[[123 0.5 -169]
 [141 0.5 -152]
 [91 0.5 -142]]","[[93 2.5 -78]
 [222 2.5 -214]]",[[239 0.5 -20]],[[18 1.0 -248]],[],[]
5534,"[[156 0.5 -165]
 [127 0.5 -111]
 [136 0.5 -91]]",[[140 18.5 -109]],[],[],[],[[7 1.5 -3]]
5535,"[[106 0.5 -172]
 [75 0.5 -82]]","[[134 17.5 -94]
 [111 17.5 -116]
 [177 17.5 -34]]",[],[],[[43 0.5 -180]],[]
5536,"[[160 0.5 -173]
 [101 0.5 -168]]","[[119 9.5 -141]
 [84 9.5 -97]
 [173 9.5 -102]
 [61 9.5 -211]]",[],[[8 1.0 -23]],[],[]
5537,"[[173 0.5 -152]
 [111 0.5 -87]]","[[107 8.5 -94]
 [107 8.5 -143]
 [183 8.5 -29]]",[[13 0.5 -9]],[],[],[]
5538,"[[169 0.5 -95]
 [121 0.5 -119]
 [75 0.5 -112]
 [157 0.5 -95]]","[[127 0.5 -147]
 [159 0.5 -136]
 [224 0.5 -198]]",[],[],[[6 0.5 -24]],[]
5539,"[[169 0.5 -100]
 [91 0.5 -151]
 [169 0.5 -100]]","[[135 3.5 -102]
 [80 3.5 -135]
 [121 3.5 -152]]","[[59 0.5 -74]
 [247 0.5 -1]]",[],[[22 0.5 -230]],[]
5540,"[[169 0.5 -154]
 [132 0.5 -173]]","[[117 5.5 -131]
 [55 5.5 -42]]",[[23 0.5 -244]],[],[],[]
5541,"[[153 0.5 -164]
 [121 0.5 -84]
 [111 0.5 -113]
 [105 0.5 -149]]","[[173 5.5 -91]
 [167 5.5 -121]
 [118 5.5 -89]
 [40 5.5 -218]]",[],[],[],[]
5542,"[[105 0.5 -166]
 [82 0.5 -83]]","[[167 15.5 -144]
 [146 15.5 -121]]",[],[],[],"[[47 1.5 -207]
 [14 1.5 -237]]"
5543,"[[105 0.5 -156]
 [97 0.5 -153]
 [96 0.5 -151]
 [169 0.5 -135]]","[[152 19.5 -151]
 [80 19.5 -151]]",[],[],[],[]
5544,"[[173 0.5 -159]
 [158 0.5 -104]]","[[104 1.5 -127]
 [48 1.5 -70]
 [22 1.5 -19]]","[[59 0.5 -224]
 [242 0.5 -239]]",[],[],[[242 1.5 -248]]
5545,"[[105 0.5 -90]
 [81 0.5 -111]]","[[133 15.5 -158]
 [128 15.5 -118]
 [48 15.5 -49]]",[],[],[],[]
5546,"[[111 0.5 -163]
 [95 0.5 -134]]","[[167 12.5 -83]
 [80 12.5 -146]
 [40 12.5 -180]]",[[66 0.5 -55]],[],[],[]
5547,"[[170 0.5 -78]
 [129 0.5 -107]]","[[134 16.5 -88]
 [112 16.5 -109]
 [88 16.5 -110]
 [30 16.5 -50]]",[[246 0.5 -232]],[[6 1.0 -226]],[],[]
5548,"[[133 0.5 -106]
 [142 0.5 -90]]","[[120 18.5 -132]
 [171 18.5 -108]]",[],[[227 1.0 -244]],[],[]
5549,"[[169 0.5 -106]
 [80 0.5 -104]]","[[165 0.5 -173]
 [138 0.5 -132]
 [151 0.5 -121]]",[[248 0.5 -2]],[],[],[]
5550,"[[171 0.5 -162]
 [103 0.5 -129]
 [86 0.5 -159]]","[[106 15.5 -131]
 [130 15.5 -151]
 [161 15.5 -132]]",[],[],[],[[25 1.5 -208]]
5551,"[[76 0.5 -169]
 [106 0.5 -81]]","[[160 12.5 -173]
 [75 12.5 -97]
 [158 12.5 -87]
 [202 12.5 -37]]",[],[],[],[[240 1.5 -247]]
5552,"[[149 0.5 -121]
 [95 0.5 -164]
 [40 0.5 -64]]","[[156 19.5 -129]
 [193 19.5 -213]]",[],[],[],[]
5553,"[[168 0.5 -169]
 [82 0.5 -95]]","[[103 10.5 -168]
 [165 10.5 -84]
 [166 10.5 -82]
 [209 10.5 -35]]",[[234 0.5 -236]],[],[],[]
5554,"[[89 0.5 -159]
 [80 0.5 -155]
 [168 0.5 -76]]","[[102 19.5 -103]
 [201 19.5 -205]
 [23 19.5 -244]]",[],[],[],[]
5555,"[[150 0.5 -153]
 [87 0.5 -174]
 [95 0.5 -134]
 [156 0.5 -149]]","[[87 2.5 -118]
 [138 2.5 -88]
 [191 2.5 -27]]",[],[],[],[]
5556,"[[144 0.5 -90]
 [154 0.5 -151]]","[[146 17.5 -119]
 [171 17.5 -109]
 [52 17.5 -214]]",[],[[16 1.0 -3]],[[10 0.5 -10]],[]
5557,"[[151 0.5 -142]
 [102 0.5 -111]
 [83 0.5 -89]]","[[101 14.5 -105]
 [171 14.5 -80]]",[],[],[],[]
5558,"[[94 0.5 -105]
 [90 0.5 -77]]","[[138 0.5 -121]
 [91 0.5 -156]
 [64 0.5 -208]]",[[236 0.5 -238]],[],[],[]
5559,"[[94 0.5 -161]
 [84 0.5 -153]
 [77 0.5 -147]
 [108 0.5 -122]]","[[115 2.5 -114]
 [140 2.5 -106]
 [221 2.5 -209]]",[[51 0.5 -52]],[],[],[]
5560,"[[117 0.5 -99]
 [85 0.5 -155]]","[[106 7.5 -100]
 [127 7.5 -92]]",[[7 0.5 -19]],[],[],[]
5561,"[[108 0.5 -100]
 [141 0.5 -165]
 [164 0.5 -123]
 [162 0.5 -152]]","[[145 0.5 -129]
 [127 0.5 -128]
 [76 0.5 -117]
 [207 0.5 -66]]",[],[],[],[[15 1.5 -8]]
5562,"[[120 0.5 -94]
 [109 0.5 -169]]","[[170 13.5 -134]
 [204 13.5 -64]]",[[243 0.5 -3]],[[234 1.0 -230]],[],[]
5563,"[[89 0.5 -156]
 [141 0.5 -107]]","[[90 3.5 -119]
 [215 3.5 -195]]",[],[],[],[]
5564,"[[119 0.5 -174]
 [104 0.5 -137]]","[[109 13.5 -129]
 [88 13.5 -139]
 [38 13.5 -202]]",[],[],[],[]
5565,"[[79 0.5 -141]
 [138 0.5 -141]
 [174 0.5 -122]]","[[168 12.5 -174]
 [138 12.5 -98]]",[[239 0.5 -247]],[],[],[]
5566,"[[81 0.5 -156]
 [137 0.5 -90]]","[[154 14.5 -153]
 [123 14.5 -136]
 [37 14.5 -53]]",[],[],[],[]
5567,"[[169 0.5 -78]
 [109 0.5 -88]
 [223 0.5 -41]]","[[109 14.5 -145]
 [146 14.5 -81]]",[],[],[],[[52 1.5 -69]]
5568,"[[122 0.5 -99]
 [145 0.5 -173]]","[[100 16.5 -174]
 [174 16.5 -89]]",[],[],[[207 0.5 -201]],[]
5569,"[[173 0.5 -163]
 [167 0.5 -130]]","[[141 1.5 -111]
 [133 1.5 -134]]",[],[],[[43 0.5 -57]],[[49 1.5 -61]]
5570,"[[99 0.5 -156]
 [123 0.5 -141]
 [174 0.5 -171]]","[[97 18.5 -99]
 [85 18.5 -108]]",[],[[236 1.0 -4]],[],[]
5571,"[[102 0.5 -77]
 [145 0.5 -145]
 [100 0.5 -170]
 [144 0.5 -165]]","[[163 6.5 -170]
 [106 6.5 -84]
 [91 6.5 -163]
 [18 6.5 -24]]",[],[],[],[[10 1.5 -239]]
5572,"[[82 0.5 -118]
 [172 0.5 -84]
 [130 0.5 -148]]","[[114 18.5 -91]
 [109 18.5 -149]]",[],[[6 1.0 -4]],[],[]
5573,"[[163 0.5 -106]
 [129 0.5 -106]
 [144 0.5 -114]
 [133 0.5 -170]]","[[130 13.5 -78]
 [95 13.5 -107]
 [155 13.5 -162]
 [47 13.5 -67]]",[[11 0.5 -231]],[],[],[]
5574,"[[141 0.5 -84]
 [165 0.5 -92]]",[[87 15.5 -79]],[],[],[],[]
5575,"[[144 0.5 -161]
 [95 0.5 -150]
 [142 0.5 -170]
 [166 0.5 -174]]","[[78 12.5 -123]
 [170 12.5 -92]
 [98 12.5 -123]
 [24 12.5 -23]]",[[24 0.5 -15]],[],[],[[238 1.5 -242]]
5576,"[[170 0.5 -106]
 [170 0.5 -90]]","[[105 10.5 -169]
 [147 10.5 -77]]",[],[],[],[[224 1.5 -176]]
5577,"[[83 0.5 -85]
 [94 0.5 -171]]",[[129 5.5 -112]],[[0 0.5 -246]],[],[],[]
5578,"[[90 0.5 -85]
 [155 0.5 -101]
 [105 0.5 -122]]",[[96 3.5 -114]],[],[],[],[]
5579,"[[153 0.5 -128]
 [86 0.5 -164]]","[[173 11.5 -111]
 [48 11.5 -184]]",[[235 0.5 -227]],[],[],[]
5580,"[[83 0.5 -158]
 [77 0.5 -150]]","[[79 6.5 -110]
 [78 6.5 -112]
 [103 6.5 -109]]",[],[],[],[]
5581,"[[157 0.5 -163]
 [83 0.5 -107]]","[[151 16.5 -131]
 [210 16.5 -220]]",[],[],[],[]
5582,"[[99 0.5 -95]
 [77 0.5 -150]
 [209 0.5 -28]]","[[96 6.5 -123]
 [94 6.5 -135]]","[[202 0.5 -61]
 [13 0.5 -15]]",[],[],[]
5583,"[[104 0.5 -91]
 [92 0.5 -77]
 [168 0.5 -167]]","[[83 4.5 -102]
 [133 4.5 -151]
 [108 4.5 -95]]",[],[],[],[]
5584,"[[77 0.5 -95]
 [85 0.5 -171]]","[[76 3.5 -81]
 [140 3.5 -170]
 [35 3.5 -214]
 [246 3.5 -17]]",[[72 0.5 -45]],[],[],[]
5585,"[[161 0.5 -173]
 [133 0.5 -149]
 [80 0.5 -104]]",[[141 7.5 -107]],[[10 0.5 -11]],[],[],[]
5586,"[[99 0.5 -140]
 [100 0.5 -75]
 [165 0.5 -117]
 [67 0.5 -181]]","[[84 2.5 -91]
 [136 2.5 -173]
 [170 2.5 -151]
 [22 2.5 -4]]",[],[[238 1.0 -16]],[],[]
5587,"[[137 0.5 -148]
 [102 0.5 -96]]","[[86 17.5 -172]
 [208 17.5 -216]]",[],[],[],[]
5588,"[[76 0.5 -133]
 [174 0.5 -140]
 [25 0.5 -216]]","[[120 1.5 -97]
 [184 1.5 -190]]",[[234 0.5 -242]],[],[],[]
5589,"[[134 0.5 -110]
 [87 0.5 -120]]","[[93 13.5 -99]
 [29 13.5 -193]
 [1 13.5 -17]]",[],[],[[229 0.5 -15]],[]
5590,"[[147 0.5 -91]
 [94 0.5 -127]]","[[84 6.5 -171]
 [165 6.5 -162]
 [132 6.5 -163]]","[[42 0.5 -73]
 [238 0.5 -226]]",[[227 1.0 -235]],[[221 0.5 -52]],[]
5591,"[[99 0.5 -148]
 [153 0.5 -169]
 [154 0.5 -151]
 [130 0.5 -80]]","[[97 7.5 -86]
 [146 7.5 -109]
 [84 7.5 -104]
 [200 7.5 -177]]",[],[],[],[]
5592,"[[111 0.5 -142]
 [141 0.5 -81]
 [79 0.5 -145]]","[[103 7.5 -110]
 [173 7.5 -140]
 [122 7.5 -121]]",[],[],[],[]
5593,"[[88 0.5 -136]
 [136 0.5 -85]
 [84 0.5 -163]]","[[164 12.5 -171]
 [147 12.5 -142]
 [100 12.5 -116]]",[[9 0.5 -5]],[],[],[]
5594,"[[150 0.5 -141]
 [156 0.5 -80]
 [77 0.5 -116]]","[[85 9.5 -159]
 [57 9.5 -220]]",[],[],[],[]
5595,"[[102 0.5 -101]
 [170 0.5 -174]]","[[138 5.5 -130]
 [131 5.5 -75]
 [97 5.5 -118]]",[[18 0.5 -8]],[],[],[]
5596,"[[104 0.5 -112]
 [96 0.5 -82]
 [109 0.5 -84]]",[[81 8.5 -152]],[[232 0.5 -236]],[],[],[]
5597,"[[79 0.5 -168]
 [143 0.5 -112]
 [153 0.5 -85]]","[[139 14.5 -95]
 [212 14.5 -214]]",[],[],[],[]
5598,"[[113 0.5 -166]
 [155 0.5 -98]
 [131 0.5 -113]]","[[97 10.5 -121]
 [131 10.5 -107]
 [98 10.5 -119]
 [201 10.5 -54]]",[],[],[],[[182 1.5 -54]]
5599,"[[170 0.5 -96]
 [96 0.5 -118]
 [114 0.5 -113]
 [140 0.5 -148]]","[[168 17.5 -138]
 [27 17.5 -193]]",[],[],[],[]
5600,"[[101 0.5 -127]
 [171 0.5 -91]]","[[107 10.5 -108]
 [92 10.5 -122]
 [78 10.5 -98]
 [53 10.5 -179]]",[],[],[[41 0.5 -43]],[]
5601,"[[136 0.5 -84]
 [158 0.5 -97]
 [127 0.5 -82]
 [137 0.5 -106]]","[[118 5.5 -169]
 [100 5.5 -133]
 [196 5.5 -58]]",[[20 0.5 -18]],[],[[39 0.5 -182]],[]
5602,"[[105 0.5 -92]
 [101 0.5 -117]]",[[94 9.5 -104]],[],[],[],[]
5603,"[[130 0.5 -81]
 [108 0.5 -165]
 [101 0.5 -130]
 [134 0.5 -101]]","[[157 16.5 -158]
 [140 16.5 -136]
 [114 16.5 -146]
 [69 16.5 -210]]",[[231 0.5 -18]],[],[],[]
5604,"[[123 0.5 -123]
 [158 0.5 -75]]","[[167 5.5 -116]
 [206 5.5 -63]]",[],[],[],[]
5605,"[[122 0.5 -122]
 [92 0.5 -161]
 [171 0.5 -86]
 [149 0.5 -75]]","[[96 0.5 -143]
 [190 0.5 -192]]","[[57 0.5 -57]
 [238 0.5 -243]]",[],[],[]
5606,"[[87 0.5 -154]
 [159 0.5 -135]]","[[160 11.5 -85]
 [128 11.5 -135]
 [53 11.5 -211]
 [8 11.5 -24]]",[],[],[],[]
5607,"[[107 0.5 -144]
 [169 0.5 -92]]",[[106 18.5 -95]],[],[],[],[]
5608,"[[147 0.5 -174]
 [162 0.5 -114]
 [116 0.5 -135]]","[[92 7.5 -146]
 [146 7.5 -131]
 [32 7.5 -49]]",[],[],[],[]
5609,"[[159 0.5 -136]
 [120 0.5 -116]
 [97 0.5 -174]
 [87 0.5 -116]]","[[87 14.5 -163]
 [75 14.5 -128]
 [208 14.5 -184]]",[],[[24 1.0 -246]],[],[]
5610,"[[108 0.5 -106]
 [143 0.5 -83]]","[[79 1.5 -167]
 [163 1.5 -91]]",[],[],[],[]
5611,"[[120 0.5 -170]
 [158 0.5 -84]
 [92 0.5 -102]
 [149 0.5 -167]
 [216 0.5 -41]]","[[119 8.5 -150]
 [148 8.5 -150]
 [29 8.5 -64]]",[],[],[[8 0.5 -239]],[]
5612,"[[101 0.5 -171]
 [142 0.5 -101]
 [77 0.5 -119]
 [119 0.5 -78]]","[[123 0.5 -121]
 [129 0.5 -130]
 [130 0.5 -78]]",[[19 0.5 -231]],[],[],[]
5613,"[[118 0.5 -140]
 [144 0.5 -137]]","[[149 9.5 -112]
 [151 9.5 -142]
 [160 9.5 -93]
 [47 9.5 -54]]",[],[],[],[]
5614,"[[95 0.5 -153]
 [165 0.5 -80]]","[[82 12.5 -135]
 [173 12.5 -151]
 [172 12.5 -169]
 [215 12.5 -58]]",[],[],[],[[245 1.5 -3]]
5615,"[[170 0.5 -116]
 [147 0.5 -151]]","[[157 5.5 -154]
 [107 5.5 -111]]",[],[],[],[]
5616,"[[136 0.5 -145]
 [87 0.5 -172]
 [136 0.5 -158]]","[[119 9.5 -157]
 [162 9.5 -129]]",[],[],[],[[37 1.5 -29]]
5617,"[[107 0.5 -149]
 [103 0.5 -140]
 [108 0.5 -164]]","[[157 6.5 -114]
 [162 6.5 -75]]",[],[],[],[]
5618,"[[132 0.5 -147]
 [164 0.5 -90]]","[[161 18.5 -113]
 [66 18.5 -217]]",[],[],[[189 0.5 -211]],[]
5619,"[[144 0.5 -88]
 [122 0.5 -122]]","[[155 9.5 -81]
 [139 9.5 -159]
 [82 9.5 -169]
 [199 9.5 -192]]",[],[],[[25 0.5 -186]],[]
5620,"[[80 0.5 -121]
 [133 0.5 -141]]","[[150 8.5 -128]
 [93 8.5 -138]
 [128 8.5 -150]]",[[55 0.5 -204]],[],"[[66 0.5 -193]
 [6 0.5 -12]]",[]
5621,"[[171 0.5 -97]
 [78 0.5 -98]
 [168 0.5 -168]
 [129 0.5 -78]]","[[174 0.5 -101]
 [195 0.5 -33]
 [235 0.5 -23]]",[],[],[],[]
